source_index,source_field,non_null_count,non_null_rate,goal1_action,goal1_standard_field,sag_v1_target,data_class,notes
0,id,988835,1.00000000,retain_standardize,source_id,occurrence.source_id,internal,
1,process_instance_id,321159,0.32478523,retain_standardize,process_instance_id,document.process_instance_id,internal,
2,belong_dept,47288,0.04782193,retain_standardize,belong_department_id,document.metadata.belong_department_id,internal,
3,order_no,323118,0.32676635,retain_standardize,source_order_no,document.source_order_no + occurrence.source_order_no,internal,
4,order_id,988835,1.00000000,retain_standardize,source_order_id,document.source_order_id + occurrence.source_order_id,internal,
5,call_number,988546,0.99970774,hmac_then_drop,,restricted.contact_token,direct_pii,联系电话不得进入模型或SAG交换包
6,contact_number,988638,0.99980078,hmac_then_drop,,restricted.contact_token,direct_pii,联系电话不得进入模型或SAG交换包
7,service_object_type,986141,0.99727558,retain_standardize,service_object_type,document.metadata.service_object_type + event_kind弱监督,internal,
8,case_content,985747,0.99687713,retain_standardize,case_content,document.case_content + Event/EntityMention抽取源,internal,
9,case_goal,985708,0.99683769,retain_standardize,case_goal,document.case_goal + Event/EntityMention抽取源,internal,
10,case_public,41782,0.04225376,retain_standardize,case_public,document.metadata.case_public,internal,
11,case_type,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
12,area_code_city,988502,0.99966324,retain_standardize,city,document.metadata.region.city + LOCATION候选,internal,
13,area_code_area,985447,0.99657375,retain_standardize,area,document.metadata.region.area + LOCATION候选,internal,
14,area_code_street,222517,0.22502945,retain_standardize,street,document.metadata.region.street + LOCATION候选,internal,
15,address_detail,81532,0.08245258,retain_standardize,address_detail,document.metadata.address_detail + LOCATION候选(受限精度),sensitive,
16,case_lnglat,2808,0.00283971,retain_standardize,lnglat,document.metadata.lnglat(受限),sensitive,
17,order_type,953084,0.96384533,retain_standardize,order_type,document.metadata.order_type,internal,
18,case_is_visit,988835,1.00000000,retain_standardize,case_is_visit,document.metadata.is_visit,internal,
19,case_is_urgent,988835,1.00000000,retain_standardize,case_is_urgent,document.metadata.urgency,internal,
20,info_protect,988835,1.00000000,retain_standardize,info_protect,document.metadata.info_protect,internal,
21,hotspot,947529,0.95822761,retain_standardize,hotspot,document.metadata.hotspot,internal,
22,case_labels,18232,0.01843786,retain_standardize,case_labels,document.metadata.case_labels,internal,
23,order_source,988834,0.99999899,retain_standardize,order_source,document.metadata.order_source,internal,
